Loan_ID,Age,Gender,Income,Credit_Score,Loan_Amount,Loan_Term,Default
1,38,Male,99841,756,9098,7,No
2,34,Female,49240,686,17665,20,Yes
3,46,Female,62072,697,5031,20,No
4,40,Male,35687,748,13561,7,Yes
5,31,Female,37879,678,34618,7,Yes
6,18,Male,37156,682,26558,15,Yes
7,37,Male,73599,781,49383,20,No
8,59,Female,94051,671,33000,20,No
9,24,Female,81037,775,24198,20,Yes
10,32,Male,82440,706,46054,7,No
11,48,Male,33414,605,8348,10,Yes
12,48,Female,99272,662,48956,5,Yes
13,50,Male,46674,645,13772,15,No
14,54,Male,35274,757,38454,5,Yes
15,49,Male,98348,616,41437,15,Yes
16,39,Male,90322,614,39063,5,No
17,58,Male,89455,791,22731,7,No
18,52,Male,99198,610,35820,5,Yes
19,18,Male,31400,646,33330,15,Yes
20,42,Female,98654,684,9742,20,Yes
21,63,Female,62932,608,22683,20,No
22,25,Female,38246,700,41577,5,No
23,35,Male,97151,786,17799,10,No
24,21,Female,99470,649,9606,7,Yes
25,57,Male,73139,662,39193,10,Yes
26,42,Male,43257,668,13103,20,Yes
27,57,Male,71380,778,13840,5,No
28,59,Female,90618,746,44548,7,Yes
29,42,Female,40612,714,25739,7,No
30,62,Female,64603,742,49473,7,Yes
31,20,Female,98599,679,21511,10,No
32,44,Male,39732,629,32044,7,Yes
33,64,Female,82787,683,14229,15,No
34,59,Female,76015,786,5376,15,Yes
35,60,Female,47612,761,40149,10,No
36,40,Male,81216,623,40207,10,No
37,43,Female,91933,764,14040,5,Yes
38,64,Male,79711,614,31963,15,No
39,25,Female,42088,702,14753,5,Yes
40,20,Male,82325,776,11644,15,Yes
41,35,Male,76430,648,17066,7,Yes
42,45,Male,57508,716,29671,7,Yes
43,54,Male,59794,655,46285,7,Yes
44,20,Male,33489,748,36791,10,Yes
45,40,Male,32330,746,48691,7,Yes
46,40,Male,67905,780,25219,20,Yes
47,65,Male,81018,623,36080,10,Yes
48,21,Female,69642,738,39266,5,No
49,22,Male,69305,608,12360,7,No
50,54,Male,76135,644,11367,7,Yes
51,19,Female,77450,664,14612,10,Yes
52,37,Female,41372,765,22284,10,No
53,61,Female,37986,683,17830,7,Yes
54,42,Female,96515,766,39079,5,Yes
55,54,Female,51051,738,34173,10,No
56,41,Female,68878,684,38535,20,No
57,37,Female,60247,767,20799,15,Yes
58,36,Female,40796,647,27132,15,Yes
59,41,Female,79556,759,29708,20,Yes
60,46,Female,59483,636,38756,20,Yes
61,36,Male,60075,775,8258,15,No
62,38,Female,62116,608,22441,5,Yes
63,51,Female,55077,615,24981,5,Yes
64,44,Male,44718,719,24823,7,Yes
65,28,Male,40592,760,46444,15,No
66,18,Female,60740,741,28955,20,Yes
67,65,Female,42418,714,18490,5,Yes
68,63,Male,33476,795,16868,5,No
69,35,Female,67110,774,9297,10,Yes
70,59,Female,71971,703,19665,15,Yes
71,30,Male,63765,687,15797,5,No
72,26,Female,61077,650,8885,10,Yes
73,50,Male,79222,680,11003,5,Yes
74,49,Female,88198,741,44324,20,No
75,23,Male,82488,785,16348,10,No
76,23,Male,71205,766,33600,10,Yes
77,58,Male,73619,756,31206,10,Yes
78,35,Female,62988,750,31323,5,Yes
79,38,Male,36475,638,43924,15,No
80,38,Male,94949,725,43691,5,No
81,45,Female,58827,797,22224,20,Yes
82,56,Male,79009,787,48507,10,Yes
83,32,Female,91654,652,16974,15,Yes
84,32,Male,97759,605,10779,7,Yes
85,41,Male,60940,692,36212,20,Yes
86,39,Female,44039,688,26210,7,No
87,63,Male,93236,666,41386,10,Yes
88,39,Male,47666,615,15989,5,No
89,44,Male,78908,747,13351,15,Yes
90,25,Female,78314,784,14611,10,Yes
91,28,Male,37007,608,38530,20,Yes
92,40,Male,47154,728,18364,10,No
93,47,Male,87446,780,8790,20,No
94,58,Female,64619,798,13814,7,No
95,24,Male,82982,616,44581,5,No
96,26,Male,43866,697,16473,15,Yes
97,50,Female,42788,761,40836,20,No
98,47,Female,71099,798,27525,20,No
99,26,Male,53555,625,15044,15,No
100,18,Male,65569,756,44817,15,No
101,55,Male,48945,682,7035,10,No
102,25,Male,48935,738,43377,15,No
103,45,Male,90004,795,44284,5,No
104,43,Male,30709,700,7517,15,Yes
105,28,Female,91886,744,40837,7,Yes
106,19,Male,36633,726,5789,7,No
107,33,Female,86514,740,33666,5,Yes
108,43,Female,48985,650,7875,7,No
109,27,Male,32492,664,31955,5,Yes
110,26,Male,47652,626,30672,7,No
111,33,Female,69874,634,45392,10,Yes
112,60,Male,76362,611,41518,10,No
113,29,Male,73661,727,31647,7,Yes
114,43,Female,82416,627,47795,5,Yes
115,52,Female,48776,701,10004,20,No
116,61,Male,76988,626,19075,15,Yes
117,60,Female,97814,647,6757,15,No
118,44,Male,60700,794,33873,10,No
119,48,Male,70617,690,49373,7,No
120,26,Female,72809,679,42503,10,Yes
121,37,Female,58363,617,16745,10,No
122,28,Male,95850,607,35021,10,No
123,50,Male,59254,651,43282,15,Yes
124,35,Male,80749,700,27153,20,Yes
125,26,Female,86644,601,17266,10,No
126,55,Female,57016,623,23946,10,Yes
127,19,Female,51507,671,10916,20,Yes
128,22,Male,97852,674,15962,5,Yes
129,28,Male,95805,739,23571,10,Yes
130,60,Female,97294,800,8369,15,No
131,65,Male,81697,634,30803,7,Yes
132,50,Male,46219,679,10857,15,No
133,61,Female,57252,676,38124,5,No
134,50,Male,67278,688,42359,5,No
135,61,Male,32997,657,6517,7,Yes
136,41,Female,73912,651,30799,7,No
137,19,Female,66675,605,36705,7,Yes
138,45,Female,75392,685,43709,10,No
139,18,Female,31273,753,47566,7,No
140,35,Female,38636,702,46358,15,Yes
141,51,Male,39816,789,11201,15,No
142,43,Female,31491,644,14165,7,Yes
143,45,Female,62588,682,36559,7,No
144,47,Female,54466,746,7262,20,No
145,36,Male,66434,625,8245,7,No
146,35,Male,94547,677,21264,10,Yes
147,54,Male,92643,609,45354,10,No
148,28,Female,66598,609,39574,5,No
149,41,Female,63318,691,11661,20,No
150,44,Female,94673,758,10540,5,Yes
151,53,Female,91338,713,14800,15,No
152,31,Female,54363,794,27285,15,No
153,44,Male,83573,725,13069,20,Yes
154,37,Female,91270,743,34628,20,Yes
155,62,Male,73586,631,39855,10,No
156,60,Male,34161,601,22491,5,No
157,28,Male,93421,672,9251,10,No
158,52,Male,62898,798,12728,7,Yes
159,52,Male,61243,650,46112,7,No
160,61,Female,73764,630,28180,5,Yes
161,36,Female,43083,724,35885,10,Yes
162,43,Male,57035,700,44882,7,No
163,19,Male,87946,794,41435,10,Yes
164,60,Female,61550,656,9450,15,Yes
